Fecha,toneladas,dia_semana,dias_desde_festivo,dias_hasta_festivo,mes,trimestre,isla,toneladas_lag_1,toneladas_lag_2,toneladas_lag_3,toneladas_lag_7,toneladas_media_7d,toneladas_media_14d,toneladas_media_30d,toneladas_max_7d,toneladas_min_7d
2024-05-16,0.0,3,15,14,5,2,GC,24.044373,23.047564,45.87074,0.0,19.859131714285716,19.95712957142857,21.739852366666664,46.051245,0.0
2024-05-16,48.067569,3,15,14,5,2,TF,24.115248,23.935333,48.175416,0.0,24.02570628571429,20.619463071428573,30.289201166666665,48.175416,0.0
2024-05-17,0.0,4,16,13,5,2,GC,0.0,24.044373,23.047564,46.051245,19.859131714285716,19.95712957142857,20.975385766666665,46.051245,0.0
2024-05-17,24.075844,4,16,13,5,2,TF,48.067569,24.115248,23.935333,24.094323,30.892501857142857,22.33175042857143,31.089582066666665,48.175416,23.868
2024-05-18,23.09119,5,17,12,5,2,GC,0.0,0.0,24.044373,0.0,13.280382428571428,19.95712957142857,20.975385766666665,45.87074,0.0
2024-05-18,23.973246,5,17,12,5,2,TF,24.075844,48.067569,24.115248,23.868,30.889862,22.3304305,30.2884081,48.175416,23.868
2024-05-19,0.0,6,18,11,5,2,GC,23.09119,0.0,0.0,0.0,16.579123857142857,19.96365357142857,21.7450921,45.87074,0.0
2024-05-19,47.9416,6,18,11,5,2,TF,23.973246,24.075844,48.067569,23.991624,30.904897142857145,20.60075907142857,30.28498816666667,48.175416,23.935333
2024-05-20,24.237396,0,19,10,5,2,GC,0.0,23.09119,0.0,45.87074,16.579123857142857,16.592939285714287,20.17668943333333,45.87074,0.0
2024-05-20,47.9416,0,19,10,5,2,TF,47.9416,23.973246,24.075844,48.175416,34.326322285714284,22.302728785714287,31.0805541,48.175416,23.935333
2024-05-21,23.17098,1,20,9,5,2,GC,24.237396,0.0,23.09119,23.047564,13.488646142857144,16.678683,19.4497941,24.237396,0.0
2024-05-21,72.038369,1,20,9,5,2,TF,47.9416,47.9416,23.973246,23.935333,34.292919999999995,25.727128785714285,31.110211166666662,48.067569,23.935333
2024-05-22,46.141529,2,21,8,5,2,GC,23.17098,24.237396,0.0,24.044373,13.506277,16.690523714285714,19.4549771,24.237396,0.0
2024-05-22,24.075844,2,21,8,5,2,TF,72.038369,47.9416,47.9416,24.115248,41.16478228571429,30.872726571428576,32.709043466666664,72.038369,23.973246
2024-05-23,24.220271,3,22,7,5,2,GC,46.141529,23.17098,24.237396,0.0,16.66301357142857,18.261072642857144,20.194688466666666,46.141529,0.0
2024-05-23,71.920563,3,22,7,5,2,TF,24.075844,72.038369,47.9416,48.067569,41.15915314285714,32.592429714285714,31.9161316,72.038369,23.973246
2024-05-24,0.0,4,23,6,5,2,GC,24.220271,46.141529,23.17098,0.0,20.123052285714287,19.991092,19.4613159,46.141529,0.0
2024-05-24,23.850946,4,23,6,5,2,TF,71.920563,24.075844,72.038369,24.075844,44.56672371428572,37.72961278571429,31.140519966666663,72.038369,23.973246
